School Name,State,region,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
Bucknell University,Pennsylvania,Northeastern,54100.00,"$110,000.00 ","$62,800.00 ","$80,600.00 ","$156,000.00 ","$251,000.00 "
Brown University,Texas,Northeastern,56200.00,"$109,000.00 ","$55,400.00 ","$74,400.00 ","$159,000.00 ","$228,000.00 "
Colgate University,New York,Northeastern,52800.00,"$108,000.00 ","$60,000.00 ","$76,700.00 ","$167,000.00 ","$265,000.00 "
Columbia University,New York,Northeastern,59400.00,"$107,000.00 ","$50,300.00 ","$71,900.00 ","$161,000.00 ","$241,000.00 "
Amherst College,Massachusetts,Northeastern,54500.00,"$107,000.00 ",N/A,"$84,900.00 ","$162,000.00 ",N/A
Lafayette College,Indiana,Northeastern,53900.00,"$107,000.00 ","$70,600.00 ","$79,300.00 ","$144,000.00 ","$204,000.00 "
Bowdoin College,Maine,Northeastern,48100.00,"$107,000.00 ",N/A,"$74,600.00 ","$146,000.00 ",N/A
College of the Holy Cross,Massachusetts,Northeastern,50200.00,"$106,000.00 ",N/A,"$65,600.00 ","$143,000.00 ",N/A
Stevens Institute of Technology,New Jersey,Northeastern,60600.00,"$105,000.00 ","$68,700.00 ","$81,900.00 ","$138,000.00 ","$185,000.00 "
Lehigh University,Pennsylvania,Northeastern,59200.00,"$105,000.00 ","$69,500.00 ","$85,000.00 ","$160,000.00 ","$229,000.00 "
Swarthmore College,Pennsylvania,Northeastern,49700.00,"$104,000.00 ",N/A,"$67,200.00 ","$167,000.00 ",N/A
Boston College,Massachusetts,Northeastern,52700.00,"$103,000.00 ","$48,900.00 ","$70,000.00 ","$143,000.00 ","$195,000.00 "
Williams College,Massachusetts,Northeastern,51700.00,"$102,000.00 ",N/A,"$76,400.00 ","$143,000.00 ",N/A
Villanova University,Pennsylvania,Northeastern,55800.00,"$101,000.00 ","$56,800.00 ","$76,200.00 ","$156,000.00 ","$226,000.00 "
Fordham University,New York,Northeastern,47800.00,"$99,900.00 ","$48,600.00 ","$65,900.00 ","$142,000.00 ","$198,000.00 "
"Wesleyan University (Middletown, Connecticut)",Connecticut,Northeastern,46500.00,"$97,900.00 ","$42,000.00 ","$62,500.00 ","$126,000.00 ","$215,000.00 "
Wentworth Institute of Technology,Massachusetts,Northeastern,53000.00,"$96,700.00 ","$55,200.00 ","$74,000.00 ","$117,000.00 ","$153,000.00 "
Bates College,Maine,Northeastern,47300.00,"$96,500.00 ",N/A,"$60,700.00 ","$162,000.00 ",N/A
Binghamton University,New York,Northeastern,53600.00,"$95,900.00 ","$50,900.00 ","$71,200.00 ","$146,000.00 ","$201,000.00 "
Union College,New York,Northeastern,47200.00,"$95,800.00 ","$48,700.00 ","$75,200.00 ","$135,000.00 ","$230,000.00 "
